2024-11-05 18:10:54 INFO Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
2024-11-05 18:10:54 INFO NumExpr defaulting to 8 threads.
2024-11-05 18:10:54 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:10:55 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:10:56 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:10:57 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:10:58 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:10:59 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:00 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:01 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:02 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:03 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:04 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:05 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:06 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:07 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:08 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:09 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:10 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:11 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:12 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:13 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:14 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
2024-11-05 18:11:15 INFO No path found after runs/OC_procgen-bigfish__OC_PPO__0__2024-11-05 18:10:45.765934/events.out.tfevents.1730830252.pop-os.139188.0
